from,to,weight,year,neighbor
FR,AL,12,2025,2
ME,AL,10,2025,1
GR,AL,2,2025,1
IT,AL,3,2025,2
SE,AL,3,2025,2
PL,AL,5,2025,2
PT,AL,4,2025,2
ES,AL,1,2025,2
CY,AL,4,2025,2
NL,AL,1,2025,2
FR,AM,10,2025,2
GE,AM,3,2025,1
MT,AM,12,2025,2
IL,AM,5,2025,2
GR,AM,3,2025,2
LV,AM,4,2025,2
RS,AM,2,2025,2
DK,AM,1,2025,2
IE,AM,1,2025,2
ME,AM,1,2025,2
GE,DK,10,2025,2
GB,DK,10,2025,2
AT,DK,8,2025,2
IT,DK,7,2025,2
RS,DK,5,2025,2
AU,DK,4,2025,2
CZ,DK,1,2025,2
UA,DE,12,2025,2
IL,DE,10,2025,2
RS,DE,10,2025,2
LT,DE,5,2025,2
CZ,DE,12,2025,1
GR,DE,5,2025,2
IT,DE,8,2025,2
LV,DE,2,2025,2
FI,DE,1,2025,2
GE,DE,2,2025,2
LU,DE,4,2025,1
ES,DE,3,2025,2
AZ,DE,2,2025,2
BE,DE,1,2025,1
IT,EE,10,2025,2
HR,EE,5,2025,2
LT,EE,7,2025,2
AZ,EE,7,2025,2
MT,EE,3,2025,2
RS,EE,3,2025,2
AM,EE,2,2025,2
SM,EE,7,2025,2
SI,EE,7,2025,2
LV,EE,1,2025,1
BE,EE,10,2025,2
FI,EE,4,2025,2
NO,EE,4,2025,2
AT,EE,3,2025,2
IS,EE,3,2025,2
AU,EE,3,2025,2
GB,EE,3,2025,2
LU,EE,3,2025,2
CH,EE,5,2025,2
UA,EE,5,2025,2
PL,EE,3,2025,2
EE,FI,10,2025,2
SE,FI,6,2025,1
NO,FI,8,2025,1
AT,FI,12,2025,2
LV,FI,10,2025,2
MT,FI,6,2025,2
AU,FI,2,2025,2
AM,FI,10,2025,2
DK,FI,6,2025,2
GB,FI,5,2025,2
IE,FI,4,2025,2
IS,FI,1,2025,2
BE,FI,4,2025,2
CH,FI,3,2025,2
IT,FI,1,2025,2
AM,FR,12,2025,2
LU,FR,12,2025,1
GR,FR,12,2025,2
CY,FR,10,2025,2
AL,FR,12,2025,2
CH,FR,8,2025,1
RS,FR,12,2025,2
DE,FR,10,2025,1
ES,FR,8,2025,1
FI,FR,8,2025,2
IE,FR,8,2025,2
MT,FR,8,2025,2
ME,FR,6,2025,2
CZ,FR,8,2025,2
SE,FR,7,2025,2
EE,FR,6,2025,2
LV,FR,6,2025,2
AT,FR,6,2025,2
SM,FR,5,2025,2
IS,FR,4,2025,2
PL,FR,3,2025,2
SI,FR,3,2025,2
GB,FR,2,2025,2
NL,FR,2,2025,2
NO,FR,2,2025,2
CY,GR,12,2025,2
AU,GR,12,2025,2
IL,GR,12,2025,2
AL,GR,6,2025,1
DE,GR,6,2025,2
ME,GR,12,2025,2
RS,GR,6,2025,2
